Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 10,Sydney University,WIN,Zach Zafosnik,9,7,16,3,87%,4,-,-,-,-,-,-
Round 10,Sydney University,WIN,Mitchell Sapiatzer,3,7,10,2,100%,1,-,-,-,-,-,-
Round 10,Sydney University,WIN,Zach Taiba,4,1,5,2,80%,0,-,-,-,-,-,-
Round 10,Sydney University,WIN,Jack McCulloch,8,1,9,2,88%,0,-,-,-,-,-,-
Round 10,Sydney University,WIN,Lachlan Watt,9,1,10,3,90%,4,-,-,-,-,-,-
Round 10,Sydney University,WIN,Connor Passlow,5,2,7,3,100%,3,-,-,-,-,-,-
Round 10,Sydney University,WIN,Chad Porter,5,1,6,4,33%,1,-,-,-,-,-,-
Round 10,Sydney University,WIN,Tom Beveridge,7,6,13,4,100%,3,-,-,-,-,-,-
Round 10,Sydney University,WIN,Nathan Price,11,5,16,5,87%,3,-,-,-,-,-,-
Round 10,Sydney University,WIN,Tim Gerogiou,3,2,5,2,100%,0,-,-,-,-,-,-
Round 10,Sydney University,WIN,Riley Fream,16,8,24,10,87%,4,-,-,-,-,-,-
Round 10,Sydney University,WIN,Jacob Zalac,2,8,10,4,100%,4,-,-,-,-,-,-
Round 10,Sydney University,WIN,Blake Ciscato,12,8,20,6,80%,5,-,-,-,-,-,-
Round 10,Sydney University,WIN,Corey Hardy,5,0,5,0,60%,1,-,-,-,-,-,-
Round 10,Sydney University,WIN,Patrick Sapiatzer,5,2,7,1,71%,3,-,-,-,-,-,-
Round 10,Sydney University,WIN,Riley Martin,5,5,10,7,80%,1,-,-,-,-,-,-
Round 10,Sydney University,WIN,Jack Shannon,4,5,9,2,77%,4,-,-,-,-,-,-
Round 10,Sydney University,WIN,Brock Beveridge,3,5,8,4,75%,0,-,-,-,-,-,-
Round 10,Sydney University,WIN,Luke Major,6,3,9,0,100%,2,-,-,-,-,-,-
Round 10,Sydney University,WIN,William Gamble,21,6,27,5,92%,7,-,-,-,-,-,-
Round 10,Sydney University,WIN,Adam Storey,7,3,10,1,80%,5,-,-,-,-,-,-
Round 10,Sydney University,WIN,Cruz Martin,11,3,14,1,85%,5,-,-,-,-,-,-
