Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 11,UNSW,WIN,Zach Zafosnik,4,6,10,4,100%,1,-,-,-,-,-,-
Round 11,UNSW,WIN,Mitchell Sapiatzer,9,3,12,4,91%,0,-,-,-,-,-,-
Round 11,UNSW,WIN,Zach Taiba,5,6,11,9,100%,0,-,-,-,-,-,-
Round 11,UNSW,WIN,Joshua Scambury,5,5,10,2,100%,1,-,-,-,-,-,-
Round 11,UNSW,WIN,Lachlan Watt,1,2,3,2,100%,0,-,-,-,-,-,-
Round 11,UNSW,WIN,Connor Passlow,4,1,5,0,80%,3,-,-,-,-,-,-
Round 11,UNSW,WIN,Chad Porter,5,3,8,0,87%,1,-,-,-,-,-,-
Round 11,UNSW,WIN,Tom Beveridge,7,7,14,2,85%,2,-,-,-,-,-,-
Round 11,UNSW,WIN,Nathan Price,2,7,9,4,100%,1,-,-,-,-,-,-
Round 11,UNSW,WIN,Tim Gerogiou,5,2,7,2,88%,0,-,-,-,-,-,-
Round 11,UNSW,WIN,Riley Fream,8,6,14,10,92%,2,-,-,-,-,-,-
Round 11,UNSW,WIN,Jacob Zalac,4,7,11,4,92%,0,-,-,-,-,-,-
Round 11,UNSW,WIN,Blake Ciscato,7,16,23,7,93%,2,-,-,-,-,-,-
Round 11,UNSW,WIN,Corey Hardy,13,3,16,1,81%,8,-,-,-,-,-,-
Round 11,UNSW,WIN,Patrick Sapiatzer,3,2,5,0,80%,1,-,-,-,-,-,-
Round 11,UNSW,WIN,Riley Martin,6,5,11,3,90%,2,-,-,-,-,-,-
Round 11,UNSW,WIN,Jack Shannon,5,1,6,1,90%,2,-,-,-,-,-,-
Round 11,UNSW,WIN,Brock Beveridge,7,1,8,2,75%,0,-,-,-,-,-,-
Round 11,UNSW,WIN,Luke Major,7,1,8,0,100%,3,-,-,-,-,-,-
Round 11,UNSW,WIN,William Gamble,12,0,12,1,91%,1,-,-,-,-,-,-
Round 11,UNSW,WIN,Adam Storey,6,5,11,2,72%,3,-,-,-,-,-,-
Round 11,UNSW,WIN,Brent Hardy,2,7,9,2,100%,1,-,-,-,-,-,-
