Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Inside 50,8,8,12,6,34
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Inside 50 (Drop Zone),4,3,3,3,13
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Inside 50 (Rebound Zone),4,5,9,3,21
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Direct Turnover - Between Arcs,5,3,0,0,8
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Defensive 50 Mark,2,1,1,2,6
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Forward 50 Mark,2,1,0,6,9
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Inside 50 Mark - Contested,0,2,3,2,7
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Inside 50 Mark - Uncontested,0,2,6,3,11
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Defensive 50 Mark,0,1,2,0,3
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Defensive 50 Stoppage Neutral,0,0,0,2,2
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Defensive 50 Stoppage Win,0,2,0,2,4
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Forward 50 Stoppage Neutral,0,0,3,0,3
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Forward 50 Stoppage Win,0,0,1,0,1
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Between Arcs Stoppage Loss,5,8,1,3,17
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Between Arcs Stoppage Neutral,12,6,3,4,25
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Between Arcs Stoppage Win,7,3,4,1,15
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Centre Stoppage Loss,3,1,1,1,6
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Centre Stoppage Neutral,1,4,4,2,11
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Centre Stoppage Win,2,3,2,4,11
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Defensive 50 Stoppage Loss,2,1,0,2,5
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Forward 50 Stoppage Loss,1,0,0,0,1
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Behind - Set Shot,0,1,4,0,5
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Goal - Set Shot,0,4,4,4,12
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Behind - Field Play,3,1,2,1,7
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Goal - Field Play,4,2,0,0,6
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Behind - Set Shot,1,0,0,2,3
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Goal - Set Shot,1,1,2,2,6
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Fast Rebound 50,2,2,0,1,5
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Kick out - Slow,1,0,0,2,3
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Fast Defensive Exit,1,1,2,1,5
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Forward 50 Entry (Fast),5,3,2,7,17
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Forward 50 Entry (Slow),3,5,1,3,12
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Kick out - Fast,2,2,1,0,5
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Kick out - Slow,1,0,4,1,6
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Oppo Slow Defensive Exit,1,1,2,0,4
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Slow Defensive Exit,2,1,3,3,9
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Forward HB,7,3,4,5,19
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Handball Recieve,6,6,2,2,16
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Inside 45 kick,4,1,2,1,8
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Switch and Release,1,0,0,1,2
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Switch and Slow,1,0,1,0,2
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Chase Down Tackle,0,3,1,1,5
Round 11,UNSW,WIN,39,126,20,52,70,87,20,32,18,17,Fast Through The Middle,0,1,0,1,2
