Event Date,Event Description,Player Name,Event Type,Event Location,Event Result,Event Tags,Segment Name,Performance Duration [min],Total Distance [m],Walk Distance [m],Jog Distance [m],Run Distance [m],Sprint Distance [m],Sprint Efforts,Zone 1 Distance [m],Zone 2 Distance [m],Zone 3 Distance [m],Zone 4 Distance [m],Zone 5 Distance [m],Zone 6 Distance [m],Zone 7 Distance [m],Zone 8 Distance [m],Hard Running [m],Hard Running Efforts,Work Rate [m/min],Top Speed [m/s],Intensity,Impact Light,Impact Medium,Impact Heavy,Load 2D,Load 3D,HR Mean [bpm],HR Max [bpm],HR Grey Zone [%],HR Blue Zone [%],HR Green Zone [%],HR Yellow Zone [%],HR Red Zone [%],HR Efficiency [m/beat],
Round 12,5/7/2025,North Shore,Adam Storey,Game,Home,WIN,heat;wide;grass,Quarter 1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Round 12,5/7/2025,North Shore,Adam Storey,Game,Home,WIN,heat;wide;grass,Quarter 2,22,2108.17,895.12,353.33,685.58,174.15,6,895.12,353.33,270.17,227.59,187.82,174.15,0,0,449.35,13,95.83,7.25,18.58,4,0,0,89.37,133.04,,,,,,,,
Round 12,5/7/2025,North Shore,Adam Storey,Game,Home,WIN,heat;wide;grass,Quarter 3,22,2442.79,1015.98,399.81,968.2,58.8,3,1015.98,399.81,438.23,324.28,205.69,58.8,0,0,448.79,20,111.04,7.22,21.53,4,0,0,111.33,165.52,,,,,,,,
Round 12,5/7/2025,North Shore,Adam Storey,Game,Home,WIN,heat;wide;grass,Quarter 4,22,2304.2,1097.68,270.81,890.83,44.88,2,1097.68,270.81,360.59,325.8,204.43,44.88,0,0,393.22,22,104.74,7.07,19.28,1,0,0,100.32,148.86,,,,,,,,
Round 12,5/7/2025,North Shore,Billy Redman,Game,Home,WIN,heat;wide;grass,Quarter 1,18,1772.53,578.28,351.84,762.01,80.39,5,578.28,351.84,376.26,235.09,150.66,80.39,0,0,333.96,13,98.47,8.13,16.2,9,0,0,110.22,154.77,,,,,,,,
Round 12,5/7/2025,North Shore,Billy Redman,Game,Home,WIN,heat;wide;grass,Quarter 2,22,1677.95,756.75,324.58,467.55,129.08,5,756.75,324.58,260.41,122.26,84.87,129.08,0,0,263.21,11,76.27,8.48,13.36,9,0,0,89.95,126.84,,,,,,,,
Round 12,5/7/2025,North Shore,Billy Redman,Game,Home,WIN,heat;wide;grass,Quarter 3,22,1780.8,726.17,284.07,608.64,161.91,6,726.17,284.07,296.89,209.7,102.06,161.91,0,0,357.39,17,80.95,10.65,15.54,10,0,0,104.86,144.3,,,,,,,,
Round 12,5/7/2025,North Shore,Billy Redman,Game,Home,WIN,heat;wide;grass,Quarter 4,22,1966.55,690.1,332,808.57,135.89,5,690.1,332,308.86,308.86,190.86,135.89,0,0,469.82,21,89.39,9.43,18.27,11,0,0,114.71,159.24,,,,,,,,
Round 12,5/7/2025,North Shore,Blake Ciscato,Game,Home,WIN,heat;wide;grass,Quarter 1,22,2238.9,811.67,330.42,998.51,98.3,5,811.67,330.42,454.04,356.56,187.91,98.3,0,0,427.88,19,101.77,8.24,20.49,7,0,0,123.66,179.32,,,,,,,,
Round 12,5/7/2025,North Shore,Blake Ciscato,Game,Home,WIN,heat;wide;grass,Quarter 2,22,2247.72,791.84,424.71,986.09,45.09,1,791.84,424.71,571.83,308.8,105.46,45.09,0,0,272.1,13,102.17,7.03,20.36,1,0,0,112.59,168.6,,,,,,,,
Round 12,5/7/2025,North Shore,Blake Ciscato,Game,Home,WIN,heat;wide;grass,Quarter 3,22,2447.19,772.04,277.88,1310.64,86.63,4,772.04,277.88,568.43,543.63,198.58,86.63,0,0,505.37,21,111.24,7.85,23.81,4,0,0,126.88,188.57,,,,,,,,
Round 12,5/7/2025,North Shore,Blake Ciscato,Game,Home,WIN,heat;wide;grass,Quarter 4,22,2607.17,775.74,475.13,1286.86,69.44,6,775.74,475.13,615,468.62,203.23,69.44,0,0,473.43,23,118.51,7.83,25.17,8,0,0,138.08,206.42,,,,,,,,
Round 12,5/7/2025,North Shore,Corey Hardy,Game,Home,WIN,heat;wide;grass,Quarter 1,22,2007.04,848.82,232.99,785.08,140.15,6,848.82,232.99,381.21,235.01,168.85,140.15,0,0,432.89,19,91.23,9.01,17.58,4,0,0,90.29,132.95,,,,,,,,
Round 12,5/7/2025,North Shore,Corey Hardy,Game,Home,WIN,heat;wide;grass,Quarter 2,22,1923.88,782.49,265.09,623.77,252.53,10,782.49,265.09,312.76,141.64,169.38,252.53,0,0,483.91,13,87.45,8.92,16.38,4,0,0,94.13,139.86,,,,,,,,
Round 12,5/7/2025,North Shore,Corey Hardy,Game,Home,WIN,heat;wide;grass,Quarter 3,22,2158.38,749.71,304.87,993.78,110.02,5,749.71,304.87,438.82,274.97,279.99,110.02,0,0,506,20,98.11,8.09,19.58,4,0,0,100.48,149.92,,,,,,,,
Round 12,5/7/2025,North Shore,Corey Hardy,Game,Home,WIN,heat;wide;grass,Quarter 4,22,2056.58,869.52,331.08,748.31,107.67,5,869.52,331.08,279.02,333.31,135.97,107.67,0,0,440.08,22,93.48,8.27,16.94,9,0,0,99.27,147.95,,,,,,,,
