Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 12,North Shore,WIN,Adam Storey,5,8,13,2,-,3,-,-,-,-,0,0
Round 12,North Shore,WIN,Billy Redman,2,5,7,0,-,1,-,-,-,-,0,0
Round 12,North Shore,WIN,Blake Ciscato,14,14,28,2,-,7,-,-,-,-,6,1
Round 12,North Shore,WIN,Brent Hardy,2,5,7,3,-,1,-,-,-,-,1,1
Round 12,North Shore,WIN,Connor Passlow,4,0,4,0,-,2,-,-,-,-,0,1
Round 12,North Shore,WIN,Cooper Fletcher,4,1,5,2,-,2,-,-,-,-,2,1
Round 12,North Shore,WIN,Corey Hardy,9,0,9,2,-,1,-,-,-,-,2,1
Round 12,North Shore,WIN,Jack Shannon,6,3,9,0,-,3,-,-,-,-,1,2
Round 12,North Shore,WIN,Jacob Zalac,5,7,12,0,-,1,-,-,-,-,1,0
Round 12,North Shore,WIN,Joshua Scambury,3,5,8,2,-,1,27,-,-,-,2,0
Round 12,North Shore,WIN,Lachlan Watt,8,3,11,4,-,2,-,-,-,-,1,2
Round 12,North Shore,WIN,Luke Major,3,2,5,1,-,2,-,-,-,-,0,2
Round 12,North Shore,WIN,Mitchell Sapiatzer,11,5,16,1,-,2,-,-,-,-,1,0
Round 12,North Shore,WIN,Nathan Price,7,4,11,3,-,0,-,-,-,-,0,1
Round 12,North Shore,WIN,Patrick Sapiatzer,4,2,6,1,-,1,-,-,-,-,1,0
Round 12,North Shore,WIN,Riley Martin,7,7,14,4,-,0,-,-,-,-,0,0
Round 12,North Shore,WIN,Riley Fream,20,5,25,9,-,2,-,-,-,-,3,3
Round 12,North Shore,WIN,Tom Beveridge,8,6,14,0,-,4,-,-,-,-,3,1
Round 12,North Shore,WIN,Tim Gerogiou,11,2,13,2,-,1,37,-,-,-,3,1
Round 12,North Shore,WIN,William Gamble,12,7,19,3,-,5,-,-,-,-,2,1
Round 12,North Shore,WIN,Zach Taiba,4,5,9,10,-,2,-,-,-,-,1,0
Round 12,North Shore,WIN,Zach Zafosnik,6,4,10,2,-,1,-,-,-,-,1,1
