Round,Opposition,Quarter,Time Period,Match Result,Camden,Opposition,Differential,Camden Momentum,Opposition Momentum,Camden Quarter Score,Opposition Quarter Score
Round 12,North Shore,Quarter 1, 0-2,WIN,2,5,-3,-,-3,8,8
Round 12,North Shore,Quarter 1, 2-4,WIN,4,0,4,4,-,8,8
Round 12,North Shore,Quarter 1, 4-6,WIN,5,3,2,2,-,8,8
Round 12,North Shore,Quarter 1, 6-8,WIN,5,0,5,5,-,8,8
Round 12,North Shore,Quarter 1, 8-10,WIN,1,2,-1,-,-1,8,8
Round 12,North Shore,Quarter 1, 10-12,WIN,6,0,6,6,-,8,8
Round 12,North Shore,Quarter 1, 12-14,WIN,3,1,2,2,-,8,8
Round 12,North Shore,Quarter 1, 14-16,WIN,5,2,3,3,-,8,8
Round 12,North Shore,Quarter 1, 16-18,WIN,0,7,-7,-,-7,8,8
Round 12,North Shore,Quarter 1, 18-20,WIN,5,5,0,-,-,8,8
Round 12,North Shore,Quarter 1, 20-22,WIN,0,7,-7,-,-7,8,8
Round 12,North Shore,Quarter 2, 0-2,WIN,4,1,3,3,-,39,14
Round 12,North Shore,Quarter 2, 2-4,WIN,0,7,-7,-,-7,39,14
Round 12,North Shore,Quarter 2, 4-6,WIN,2,3,-1,-,-1,39,14
Round 12,North Shore,Quarter 2, 6-8,WIN,5,2,3,3,-,39,14
Round 12,North Shore,Quarter 2, 8-10,WIN,3,5,-2,-,-2,39,14
Round 12,North Shore,Quarter 2, 10-12,WIN,1,1,0,-,-,39,14
Round 12,North Shore,Quarter 2, 12-14,WIN,1,1,0,-,-,39,14
Round 12,North Shore,Quarter 2, 14-16,WIN,5,0,5,5,-,39,14
Round 12,North Shore,Quarter 2, 16-18,WIN,3,1,2,2,-,39,14
Round 12,North Shore,Quarter 2, 18-20,WIN,5,0,5,5,-,39,14
Round 12,North Shore,Quarter 2, 20-22,WIN,5,0,5,5,-,39,14
Round 12,North Shore,Quarter 3, 0-2,WIN,1,8,-7,-,-7,47,30
Round 12,North Shore,Quarter 3, 2-4,WIN,5,2,3,3,-,47,30
Round 12,North Shore,Quarter 3, 4-6,WIN,0,2,-2,-,-2,47,30
Round 12,North Shore,Quarter 3, 6-8,WIN,1,5,-4,-,-4,47,30
Round 12,North Shore,Quarter 3, 8-10,WIN,6,0,6,6,-,47,30
Round 12,North Shore,Quarter 3, 10-12,WIN,7,1,6,6,-,47,30
Round 12,North Shore,Quarter 3, 12-14,WIN,0,6,-6,-,-6,47,30
Round 12,North Shore,Quarter 3, 14-16,WIN,1,3,-2,-,-2,47,30
Round 12,North Shore,Quarter 3, 16-18,WIN,5,4,1,1,-,47,30
Round 12,North Shore,Quarter 3, 18-20,WIN,1,7,-6,-,-6,47,30
Round 12,North Shore,Quarter 3, 20-22,WIN,2,2,0,-,-,47,30
Round 12,North Shore,Quarter 4, 0-2,WIN,0,7,-7,-,-7,54,32
Round 12,North Shore,Quarter 4, 2-4,WIN,3,5,-2,-,-2,54,32
Round 12,North Shore,Quarter 4, 4-6,WIN,2,0,2,2,-,54,32
Round 12,North Shore,Quarter 4, 6-8,WIN,2,6,-4,-,-4,54,32
Round 12,North Shore,Quarter 4, 8-10,WIN,3,5,-2,-,-2,54,32
Round 12,North Shore,Quarter 4, 10-12,WIN,4,0,4,4,-,54,32
Round 12,North Shore,Quarter 4, 12-14,WIN,4,1,3,3,-,54,32
Round 12,North Shore,Quarter 4, 14-16,WIN,6,2,4,4,-,54,32
Round 12,North Shore,Quarter 4, 16-18,WIN,6,2,4,4,-,54,32
Round 12,North Shore,Quarter 4, 18-20,WIN,5,2,3,3,-,54,32
Round 12,North Shore,Quarter 4, 20-22,WIN,7,0,7,7,-,54,32
