Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 14,Southern Power,WIN,Adam Storey,7,10,17,0,-,4,-,-,-,-,0,0
Round 14,Southern Power,WIN,Blake Ciscato,12,26,38,6,-,8,-,-,-,-,7,0
Round 14,Southern Power,WIN,Brent Hardy,2,4,6,1,-,1,-,-,-,-,2,1
Round 14,Southern Power,WIN,Connor Johnson,3,6,9,1,-,1,-,-,-,-,0,0
Round 14,Southern Power,WIN,Connor Passlow,3,0,3,0,-,2,-,-,-,-,0,0
Round 14,Southern Power,WIN,Corey Hardy,10,6,16,5,-,4,2,-,-,-,1,0
Round 14,Southern Power,WIN,Cruz Martin,9,8,17,3,-,4,-,-,-,-,1,0
Round 14,Southern Power,WIN,Hayden Pope,8,3,11,2,-,5,-,-,-,-,0,1
Round 14,Southern Power,WIN,Jack McCulloch,12,13,25,1,-,5,-,-,-,-,9,0
Round 14,Southern Power,WIN,Jack Shannon,3,2,5,0,-,1,-,-,-,-,0,1
Round 14,Southern Power,WIN,Joshua Bannister,7,4,11,1,-,6,-,-,-,-,3,0
Round 14,Southern Power,WIN,Lachlan Watt,9,5,14,1,-,4,1,-,-,-,3,0
Round 14,Southern Power,WIN,Mitchell Sapiatzer,16,6,22,2,-,9,-,-,-,-,2,0
Round 14,Southern Power,WIN,Nathan Price,5,13,18,5,-,3,-,-,-,-,2,1
Round 14,Southern Power,WIN,Nicholas Perry,11,1,12,1,-,3,-,-,-,-,0,0
Round 14,Southern Power,WIN,Patrick Sapiatzer,8,11,19,1,-,3,-,-,-,-,2,2
Round 14,Southern Power,WIN,Riley Fream,8,16,24,4,-,3,-,-,-,-,4,0
Round 14,Southern Power,WIN,Riley Martin,1,0,1,0,-,0,-,-,-,-,1,0
Round 14,Southern Power,WIN,Tim Gerogiou,12,10,22,0,-,2,52,-,-,-,4,0
Round 14,Southern Power,WIN,William Gamble,14,6,20,2,-,6,-,-,-,-,4,1
Round 14,Southern Power,WIN,Zach Taiba,7,11,18,4,-,1,7,-,-,-,3,0
Round 14,Southern Power,WIN,Zach Zafosnik,10,7,17,2,-,5,-,-,-,-,5,0
