Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 15,Pennant Hills,WIN,Adam Storey,10,8,18,0,-,2,0,-,-,-,2,0
Round 15,Pennant Hills,WIN,Blake Ciscato,13,20,33,1,-,1,0,-,-,-,8,0
Round 15,Pennant Hills,WIN,Chad Porter,13,2,15,1,-,7,0,-,-,-,2,0
Round 15,Pennant Hills,WIN,Connor Johnson,6,6,12,2,-,1,0,-,-,-,2,0
Round 15,Pennant Hills,WIN,Connor Passlow,9,3,12,0,-,5,1,-,-,-,3,1
Round 15,Pennant Hills,WIN,Corey Hardy,12,4,16,2,-,7,4,-,-,-,0,2
Round 15,Pennant Hills,WIN,Cruz Martin,11,11,22,0,-,2,0,-,-,-,7,4
Round 15,Pennant Hills,WIN,Hayden Pope,2,5,7,0,-,1,0,-,-,-,1,0
Round 15,Pennant Hills,WIN,Jack McCulloch,4,18,22,3,-,0,0,-,-,-,3,2
Round 15,Pennant Hills,WIN,Jack Shannon,7,9,16,1,-,3,0,-,-,-,2,0
Round 15,Pennant Hills,WIN,Joshua Bannister,3,9,12,1,-,2,0,-,-,-,1,0
Round 15,Pennant Hills,WIN,Lachlan Watt,8,1,9,1,-,2,0,-,-,-,3,0
Round 15,Pennant Hills,WIN,Mitchell Sapiatzer,13,3,16,0,-,4,0,-,-,-,6,0
Round 15,Pennant Hills,WIN,Nathan Price,6,12,18,2,-,4,0,-,-,-,2,0
Round 15,Pennant Hills,WIN,Nick Perry,3,1,4,0,-,1,0,-,-,-,0,0
Round 15,Pennant Hills,WIN,Patrick Sapiatzer,2,10,12,5,-,1,0,-,-,-,2,0
Round 15,Pennant Hills,WIN,Riley Fream,12,18,30,8,-,1,0,-,-,-,3,1
Round 15,Pennant Hills,WIN,Riley Martin,6,4,10,8,-,0,0,-,-,-,3,0
Round 15,Pennant Hills,WIN,Tim Gerogiou,7,8,15,1,-,3,53,-,-,-,2,1
Round 15,Pennant Hills,WIN,William Gamble,7,9,16,1,-,3,0,-,-,-,1,0
Round 15,Pennant Hills,WIN,Zach Taiba,8,11,19,9,-,0,9,-,-,-,5,0
Round 15,Pennant Hills,WIN,Zach Zafosnik,5,8,13,1,-,2,0,-,-,-,2,1
