Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Inside 50,6,6,6,7,25
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Inside 50 (Drop Zone),2,1,2,1,6
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Inside 50 (Rebound Zone),4,4,4,6,18
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Inside 50 Mark - Contested,0,0,0,1,1
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Between Arcs Stoppage Loss,3,2,4,2,11
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Between Arcs Stoppage Neutral,2,0,4,2,8
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Between Arcs Stoppage Win,4,3,2,2,11
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Centre Stoppage Win,2,2,3,1,8
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Defensive 50 Stoppage Loss,1,1,0,6,8
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Defensive 50 Stoppage Neutral,0,1,1,3,5
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Forward 50 Stoppage Loss,0,0,2,2,4
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Forward 50 Stoppage Win,0,0,3,2,5
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Behind - Field Play,1,1,0,2,4
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Behind - Set Shot,2,0,2,1,5
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Behind - Set Shot,0,1,1,2,4
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Goal - Set Shot,1,1,0,1,3
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Fast Rebound 50,3,2,3,2,10
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Kick out - Fast,0,1,0,1,2
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Kick out - Slow,0,1,2,2,5
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Fast Defensive Exit,2,3,4,3,12
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Forward 50 Entry (Fast),3,7,7,7,24
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Forward 50 Entry (Slow),3,5,0,1,9
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Kick out - Fast,2,0,1,1,4
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Kick out - Slow,0,1,1,2,4
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Slow Defensive Exit,2,2,0,3,7
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Slow Defensive Exit,3,3,2,2,10
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Armadillo,2,3,2,2,9
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Chase Down Tackle,4,1,0,3,8
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Drive Forward,4,1,1,3,9
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Fast Through The Middle,2,2,1,2,7
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Forward HB,8,7,5,8,28
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Inside 45 kick,4,2,6,2,14
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Repeat Stoppage,3,1,7,8,19
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Switch and Release,1,1,0,1,3
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Switch and Slow,0,0,0,1,1
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Defensive 50 Stoppage Win,1,5,1,0,7
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Goal - Field Play,0,1,0,0,1
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Behind - Field Play,0,1,1,0,2
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Defensive Press - Negative,0,1,1,0,2
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Forward 50 Stoppage Neutral,0,0,5,0,5
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Goal - Set Shot,1,0,2,0,3
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Defensive Press - Positive,3,0,1,0,4
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Inside 50 Mark - Uncontested,1,0,0,0,1
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Centre Stoppage Loss,2,0,0,0,2
Round 1,Parramatta Goannas,WIN,31,33,-3,-4,8,2,-3,-1,12,-6,Oppo Goal - Field Play,1,0,0,0,1
