Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Inside 50,8,6,10,11,35
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Inside 50 (Drop Zone),2,3,5,3,13
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Inside 50 (Rebound Zone),6,3,5,4,18
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Inside 50 Mark - Contested,0,1,0,0,1
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Between Arcs Stoppage Loss,6,3,1,4,14
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Between Arcs Stoppage Neutral,3,1,2,4,10
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Between Arcs Stoppage Win,3,4,7,6,20
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Centre Stoppage Loss,1,2,1,3,7
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Centre Stoppage Win,1,4,5,1,11
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Defensive 50 Stoppage Neutral,2,0,1,0,3
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Defensive 50 Stoppage Win,1,2,1,0,4
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Forward 50 Stoppage Loss,2,1,1,2,6
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Forward 50 Stoppage Neutral,2,0,4,3,9
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Forward 50 Stoppage Win,0,1,3,4,8
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Behind - Field Play,2,1,0,1,4
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Goal - Field Play,0,1,2,1,4
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Goal - Set Shot,0,1,1,2,4
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Oppo Behind - Field Play,0,1,0,1,2
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Oppo Behind - Set Shot,2,1,1,0,4
Round 4,Sydney University,LOSS,66,53,-18,-31,-25,-13,-18,-13,6,12,Oppo Goal - Set Shot,3,4,1,0,8
