Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Inside 50,14,10,12,7,43
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Inside 50 (Drop Zone),4,6,6,2,18
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Inside 50 (Rebound Zone),10,4,4,5,23
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Defensive 50 Mark,0,1,0,0,1
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Inside 50 Mark - Contested,0,1,1,2,4
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Inside 50 Mark - Uncontested,4,2,1,3,10
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Defensive 50 Mark,2,1,0,1,4
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Defensive 50 Stoppage Loss,0,0,0,1,1
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Defensive 50 Stoppage Neutral,0,0,2,0,2
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Defensive 50 Stoppage Win,0,0,2,3,5
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Between Arcs Stoppage Loss,2,1,2,5,10
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Between Arcs Stoppage Neutral,4,1,1,6,12
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Between Arcs Stoppage Win,5,5,3,4,17
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Centre Stoppage Loss,2,1,2,2,7
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Centre Stoppage Neutral,0,4,2,3,9
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Centre Stoppage Win,3,3,5,2,13
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Forward 50 Stoppage Loss,1,0,0,1,2
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Forward 50 Stoppage Neutral,2,1,0,0,3
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Forward 50 Stoppage Win,2,0,1,0,3
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Goal - Field Play,0,2,5,0,7
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Behind - Field Play,0,0,1,0,1
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Goal - Set Shot,0,0,0,1,1
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Behind - Field Play,2,0,2,0,4
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Behind - Set Shot,2,2,0,0,4
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Goal - Set Shot,3,3,1,4,11
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Behind - Set Shot,1,0,1,1,3
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Goal - Field Play,0,1,0,0,1
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Fast Rebound 50,2,3,1,5,11
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Kick out - Slow,2,0,1,0,3
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Fast Defensive Exit,3,0,1,1,5
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Forward 50 Entry (Fast),3,4,4,6,17
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Kick out - Slow,3,2,3,0,8
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Slow Defensive Exit,5,4,1,1,11
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Kick out - Fast,0,0,1,2,3
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Oppo Forward 50 Entry (Slow),0,0,1,3,4
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Slow Defensive Exit,0,0,0,2,2
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Chase Down Tackle,2,1,1,0,4
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Fast Through The Middle,1,2,1,1,5
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Forward HB,14,9,20,11,54
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Handball Recieve,2,2,14,5,23
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Inside 45 kick,2,2,6,3,13
Round 6,Pennant Hills,WIN,17,117,21,47,84,100,21,26,37,16,Switch and Release,2,1,1,2,6
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
