Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 7,St George,WIN,Adam Storey,5,9,14,0,-,2,-,-,-,-,0,1
Round 7,St George,WIN,Billy Redman,2,3,5,1,-,2,-,-,-,-,1,0
Round 7,St George,WIN,Blake Ciscato,11,8,19,3,-,3,-,-,-,-,4,0
Round 7,St George,WIN,Brent Hardy,8,6,14,1,-,4,-,-,-,-,2,1
Round 7,St George,WIN,Connor Johnson,4,3,7,1,-,3,-,-,-,-,1,1
Round 7,St George,WIN,Corey Hardy,10,2,12,1,-,6,-,-,-,-,1,0
Round 7,St George,WIN,Jack Shannon,6,3,9,0,-,4,-,-,-,-,1,0
Round 7,St George,WIN,Jacob Zalac,3,3,6,0,-,2,-,-,-,-,1,0
Round 7,St George,WIN,James Broadbent,8,1,9,0,-,2,-,-,-,-,0,0
Round 7,St George,WIN,Joshua Scambury,3,5,8,0,-,0,18,-,-,-,1,1
Round 7,St George,WIN,Lachlan Watt,4,5,9,1,-,1,-,-,-,-,2,0
Round 7,St George,WIN,Luke Major,6,2,8,0,-,0,-,-,-,-,3,2
Round 7,St George,WIN,Mitchell Sapiatzer,12,1,13,2,-,6,-,-,-,-,1,1
Round 7,St George,WIN,Nathan Price,8,10,18,5,-,4,-,-,-,-,2,0
Round 7,St George,WIN,Patrick Sapiatzer,4,9,13,1,-,2,-,-,-,-,0,2
Round 7,St George,WIN,Riley Fream,13,14,27,3,-,0,-,-,-,-,7,1
Round 7,St George,WIN,Riley Martin,2,3,5,4,-,1,-,-,-,-,1,0
Round 7,St George,WIN,Tom Beveridge,11,7,18,1,-,6,-,-,-,-,3,0
Round 7,St George,WIN,Tim Gerogiou,2,6,8,4,-,2,39,-,-,-,0,0
Round 7,St George,WIN,William Gamble,9,5,14,1,-,4,-,-,-,-,5,0
Round 7,St George,WIN,Zach Taiba,6,6,12,3,-,3,-,-,-,-,5,1
Round 7,St George,WIN,Zach Zafosnik,7,3,10,1,-,1,-,-,-,-,4,0
