Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Inside 50,13,13,10,11,47
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Inside 50 (Drop Zone),7,5,5,5,22
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Inside 50 (Rebound Zone),6,8,5,6,25
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Direct Turnover - Between Arcs,0,4,2,2,8
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Direct Turnover - F50,1,0,1,2,4
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Defensive 50 Mark,1,1,0,1,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Inside 50 Mark - Contested,0,1,2,2,5
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Inside 50 Mark - Uncontested,3,1,3,1,8
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Defensive 50 Mark,1,1,0,1,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Forward 50 Mark,1,1,1,3,6
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Defensive 50 Stoppage Loss,0,0,0,1,1
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Between Arcs Stoppage Loss,4,3,2,3,12
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Between Arcs Stoppage Neutral,7,4,2,4,17
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Between Arcs Stoppage Win,3,2,5,5,15
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Centre Stoppage Loss,1,1,5,1,8
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Centre Stoppage Neutral,1,1,0,1,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Centre Stoppage Win,3,2,2,2,9
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Defensive 50 Stoppage Win,1,1,1,0,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Forward 50 Stoppage Loss,2,1,2,1,6
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Forward 50 Stoppage Neutral,1,1,1,2,5
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Forward 50 Stoppage Win,1,1,0,4,6
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Behind - Field Play,2,2,1,3,8
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Behind - Set Shot,2,2,1,2,7
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Goal - Field Play,1,0,2,1,4
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Goal - Set Shot,2,1,3,1,7
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Behind - Field Play,0,2,2,0,4
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Behind - Set Shot,1,0,0,1,2
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Goal - Field Play,1,1,1,0,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Goal - Set Shot,0,1,1,2,4
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Fast Rebound 50,0,1,0,2,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Kick out - Fast,0,1,1,0,2
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Kick out - Slow,1,0,1,1,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Fast Defensive Exit,2,2,1,3,8
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Forward 50 Entry (Fast),3,5,5,3,16
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Forward 50 Entry (Slow),1,2,0,3,6
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Kick out - Fast,1,1,1,0,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Kick out - Slow,3,4,1,5,13
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Oppo Slow Defensive Exit,4,3,3,1,11
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Slow Defensive Exit,1,2,1,0,4
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Chase Down Tackle,3,0,0,2,5
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Fast Through The Middle,0,2,0,1,3
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Forward HB,10,4,7,5,26
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Handball Recieve,6,4,4,6,20
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Inside 45 kick,4,8,3,1,16
Round 7,St George,WIN,48,81,15,11,29,33,15,-4,18,4,Switch and Release,2,1,0,3,6
