Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 8,Parramatta Goannas,LOSS,Zach Zafosnik,7,5,12,3,91%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Mitchell Sapiatzer,12,8,20,4,80%,5,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Zach Taiba,3,3,6,1,100%,2,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Sam Neil,3,2,5,3,40%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Lachlan Watt,8,7,15,0,87%,9,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Connor Passlow,4,5,11,0,88%,1,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Lachlan McNamara,16,11,27,2,88%,10,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Tom Beveridge,5,7,12,2,75%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Nathan Price,8,3,11,8,100%,3,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Hunter Steele,5,0,5,2,80%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Riley Fream,11,5,16,4,87%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Jacob Zalac,4,1,5,3,100%,1,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Blake Ciscato,12,6,18,3,77%,5,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Corey Hardy,4,5,9,1,66%,4,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Patrick Sapiatzer,9,3,12,1,75%,5,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Riley Martin,2,4,6,4,83%,4,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Jack McCulloch,1,2,3,1,100%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Brock Beveridge,6,3,9,2,66%,0,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Luke Major,11,3,14,3,57%,1,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,William Gamble,10,6,16,2,81%,3,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Shane Doherty,10,2,12,0,58%,7,-,-,-,-,-,-
Round 8,Parramatta Goannas,LOSS,Tim Gerogiou,4,3,7,1,71%,0,-,-,-,-,-,-
