Round,Opposition,Results,Name,Kicks,Handballs,Total,Tackles,Efficiency,Marks,Hit Outs,Rotations,On Ground %,Score Involvements,Inside 50's,Direct Turnovers
Round 9,Inner West,WIN,Zach Zafosnik,5,7,12,1,91%,3,-,4,76.00%,1,-,-
Round 9,Inner West,WIN,Mitchell Sapiatzer,13,11,24,2,87%,5,-,5,84.00%,4,-,-
Round 9,Inner West,WIN,Zach Taiba,10,4,14,10,92%,2,-,4,71.00%,4,-,-
Round 9,Inner West,WIN,Cooper Fletcher,4,2,6,1,100%,0,-,2,75.00%,3,-,-
Round 9,Inner West,WIN,Lachlan Watt,10,6,16,0,93%,5,-,4,83.00%,3,-,-
Round 9,Inner West,WIN,Connor Passlow,1,1,2,1,100%,2,-,4,84.00%,0,-,-
Round 9,Inner West,WIN,Lachlan McNamara,16,5,21,4,95%,5,-,4,82.00%,6,-,-
Round 9,Inner West,WIN,Tom Beveridge,9,4,13,3,76%,4,-,5,86.00%,1,-,-
Round 9,Inner West,WIN,Nathan Price,8,8,16,10,75%,3,-,4,84.00%,2,-,-
Round 9,Inner West,WIN,Tim Gerogiou,4,6,10,2,80%,1,-,2,92.00%,0,-,-
Round 9,Inner West,WIN,Riley Fream,11,12,23,10,91%,1,-,4,87.00%,1,-,-
Round 9,Inner West,WIN,Jacob Zalac,2,9,11,3,100%,0,-,5,84.00%,1,-,-
Round 9,Inner West,WIN,Blake Ciscato,11,15,26,3,92%,3,-,4,86.00%,3,-,-
Round 9,Inner West,WIN,Corey Hardy,15,0,15,3,100%,10,-,3,85.00%,0,-,-
Round 9,Inner West,WIN,Patrick Sapiatzer,3,3,6,2,100%,2,-,4,82.00%,4,-,-
Round 9,Inner West,WIN,Riley Martin,5,7,12,3,100%,2,-,4,86.00%,2,-,-
Round 9,Inner West,WIN,Jack Shannon,2,1,3,1,100%,2,-,2,74.00%,0,-,-
Round 9,Inner West,WIN,Brock Beveridge,7,1,8,1,87%,5,-,3,65.00%,0,-,-
Round 9,Inner West,WIN,Luke Major,3,5,8,0,100%,2,-,4,85.00%,0,-,-
Round 9,Inner West,WIN,William Gamble,20,10,30,2,90%,5,-,4,84.00%,5,-,-
Round 9,Inner West,WIN,Shane Doherty,9,4,13,1,92%,3,-,4,83.00%,2,-,-
Round 9,Inner West,WIN,Cruz Martin,6,1,7,2,85%,3,-,4,86.00%,1,-,-
