Round,Opponent,Result,Oppo Score,Camden Score,Q1_Score_Diff,Q2_Score_Diff,Q3_Score_Diff,Q4_Score_Diff,Q1_Score_Change,Q2_Score_Change,Q3_Score_Change,Q4_Score_Change,Statistic,Q1_Count,Q2_Count,Q3_Count,Q4_Count,Game_Count
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Inside 50,12,17,12,14,55
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Inside 50 (Drop Zone),8,12,3,6,29
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Inside 50 (Rebound Zone),4,5,9,8,26
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Direct Turnover - Between Arcs,4,1,2,1,8
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Direct Turnover - F50,1,1,2,0,4
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Defensive 50 Mark,2,1,1,0,4
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Inside 50 Mark - Contested,1,2,3,0,6
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Inside 50 Mark - Uncontested,6,2,4,6,18
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Defensive 50 Mark,0,0,4,2,6
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Forward 50 Mark,2,0,0,0,2
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Between Arcs Stoppage Loss,1,2,3,4,10
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Between Arcs Stoppage Neutral,6,0,6,6,18
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Between Arcs Stoppage Win,10,2,2,3,17
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Centre Stoppage Loss,1,2,1,1,5
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Centre Stoppage Neutral,5,0,1,6,12
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Centre Stoppage Win,2,5,3,2,12
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Defensive 50 Stoppage Neutral,0,1,0,0,1
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Defensive 50 Stoppage Win,0,1,0,1,2
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Forward 50 Stoppage Loss,0,3,3,1,7
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Forward 50 Stoppage Neutral,2,1,5,0,8
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Forward 50 Stoppage Win,0,1,2,0,3
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Behind - Field Play,2,3,1,3,9
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Behind - Set Shot,1,1,0,1,3
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Goal - Field Play,2,2,0,3,7
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Goal - Set Shot,4,5,6,4,19
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Behind - Field Play,1,0,1,0,2
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Goal - Set Shot,1,0,0,0,1
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Fast Rebound 50,0,0,2,0,2
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Kick out - Slow,1,0,1,0,2
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Fast Defensive Exit,1,3,1,2,7
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Forward 50 Entry (Fast),2,2,4,0,8
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Forward 50 Entry (Slow),2,3,1,1,7
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Kick out - Fast,1,2,0,1,4
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Kick out - Slow,1,2,1,3,7
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Oppo Slow Defensive Exit,1,3,5,2,11
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Slow Defensive Exit,0,2,2,0,4
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Chase Down Tackle,1,1,0,0,2
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Fast Through The Middle,1,0,0,0,1
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Forward HB,15,12,9,5,41
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Handball Recieve,8,17,4,5,34
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Inside 45 kick,4,7,8,5,24
Round 9,Inner West,WIN,8,154,32,72,102,146,32,40,30,44,Switch and Release,1,1,1,0,3
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
